date,ticker_yahoo,ticker_stockapi,name,price_stockapi,change_pct_stockapi,source
20260714,0005.HK,HK00005,匯豐控股,152.6,-0.78,tencent
20260714,0006.HK,HK00006,電能實業,57.85,0,tencent
20260714,0267.HK,HK00267,中信股份,11.24,1.08,tencent
20260714,0270.HK,HK00270,粵海投資,7.76,1.7,tencent
20260714,0363.HK,HK00363,上海實業,13,0.85,tencent
20260714,0669.HK,HK00669,創科實業,125.5,1.29,tencent
20260714,0823.HK,HK00823,領展房產基金,37.98,1.23,tencent
20260714,0883.HK,HK00883,中國海洋石油,22.8,2.43,tencent
20260714,0941.HK,HK00941,中國移動,79.1,-0.19,tencent
20260714,2388.HK,HK02388,中銀香港,46.18,-0.56,tencent
20260714,2800.HK,HK02800,盈富基金,24.84,0.65,tencent
20260714,3466.HK,HK03466,香港高息股ETF,19.27,1.0,tencent
20260714,3988.HK,HK03988,中國銀行,5.07,-0.59,tencent
20260714,6823.HK,HK06823,香港電訊,12.05,-0.25,tencent
20260714,JPM,USJPM,摩根大通,342.8,2.47,tencent
20260714,ABBV,USABBV,艾伯維,245.07,-1.18,tencent
20260714,CVX,USCVX,雪佛龍,182.15,-0.03,tencent
20260714,O,USO,Realty Income,64.09,-0.12,tencent
20260714,VZ,USVZ,Verizon,42.42,-0.61,tencent
20260715,0005.HK,HK00005,匯豐控股,155.3,1.77,tencent
20260715,0006.HK,HK00006,電能實業,58.1,0.43,tencent
20260715,0267.HK,HK00267,中信股份,11.28,0.36,tencent
20260715,0270.HK,HK00270,粵海投資,7.74,-0.26,tencent
20260715,0363.HK,HK00363,上海實業,12.99,-0.08,tencent
20260715,0669.HK,HK00669,創科實業,128.4,2.31,tencent
20260715,0823.HK,HK00823,領展房產基金,38.5,1.37,tencent
20260715,0883.HK,HK00883,中國海洋石油,22.9,0.44,tencent
20260715,0941.HK,HK00941,中國移動,79,-0.13,tencent
20260715,2388.HK,HK02388,中銀香港,46.72,1.17,tencent
20260715,2800.HK,HK02800,盈富基金,25.1,1.05,tencent
20260715,3466.HK,HK03466,香港高息股ETF,19.5,1.19,tencent
20260715,3988.HK,HK03988,中國銀行,5.04,-0.59,tencent
20260715,6823.HK,HK06823,香港電訊,12.1,0.41,tencent
20260715,JPM,USJPM,摩根大通,342.89,2.5,tencent
20260715,ABBV,USABBV,艾伯維,244.78,-1.3,tencent
20260715,CVX,USCVX,雪佛龍,181.76,-0.24,tencent
20260715,O,USO,Realty Income,63.77,-0.62,tencent
20260715,VZ,USVZ,Verizon,42.47,-0.49,tencent
20260716,0005.HK,HK00005,匯豐控股,156.9,1.03,tencent
20260716,0006.HK,HK00006,電能實業,58.05,-0.09,tencent
20260716,0267.HK,HK00267,中信股份,11.3,0.18,tencent
20260716,0270.HK,HK00270,粵海投資,7.71,-0.39,tencent
20260716,0363.HK,HK00363,上海實業,13.19,1.54,tencent
20260716,0669.HK,HK00669,創科實業,129.6,0.93,tencent
20260716,0823.HK,HK00823,領展房產基金,38.78,0.73,tencent
20260716,0883.HK,HK00883,中國海洋石油,22.88,-0.09,tencent
20260716,0941.HK,HK00941,中國移動,79.6,0.76,tencent
20260716,2388.HK,HK02388,中銀香港,46.68,-0.09,tencent
20260716,2800.HK,HK02800,盈富基金,25.46,1.43,tencent
20260716,3466.HK,HK03466,香港高息股ETF,19.74,1.23,tencent
20260716,3988.HK,HK03988,中國銀行,5.1,1.19,tencent
20260716,6823.HK,HK06823,香港電訊,12.19,0.74,tencent
20260716,JPM,USJPM,摩根大通,346.91,1.17,tencent
20260716,ABBV,USABBV,艾伯維,244.11,0.44,tencent
20260716,CVX,USCVX,雪佛龍,181.6,-0.09,tencent
20260716,O,USO,Realty Income,63.26,-0.8,tencent
20260716,VZ,USVZ,Verizon,42.83,0.85,tencent
